13352,prog-sen-ata-tg2a-0-5tv2c-gn-a,ATA-TG2A+0.5TV2C_GN_A,{},1,,91,2231849.0,2020-03-26 15:10:11.158147,2022-04-20 13:01:13.10751,1.0
13353,prog-sen-ata-tg2a-tg2b-tv2c-gn-a,ATA-TG2A+TG2B+TV2C_GN_A,{},1,,91,2231849.0,2020-03-26 15:26:37.672019,2022-04-20 13:01:24.569964,1.0
13346,prog-sen-ata-tg1a-gn-a,ATA-TG1A_GN_A,{},1,,91,2231849.0,2020-03-26 13:04:46.486106,2022-04-20 12:36:03.475012,1.0
6832,qduqpeu,Duqueco-Los Peumos 220 kV,"{""abs_max_op"": 1000.0, ""abs_max_tol"": 1500.0}",10,,44,265233.0,2017-04-13 10:53:05.237693,2022-05-12 18:12:36.179351,1.0
3195,ppolnav1,Cerro Navia - Polpaico 220kV C1,{},121,,45,3051.0,2016-05-23 18:40:01.348388,2016-05-23 18:40:05.387513,1.0
13356,prog-sen-taltal-1-gn-a,TALTAL_1_GN_A,{},1,,91,2231890.0,2020-03-27 11:55:06.698678,2020-03-27 11:55:07.237522,1.0
13357,prog-sen-taltal-2-gn-a,TALTAL_2_GN_A,{},1,,91,2231890.0,2020-03-27 12:57:47.095206,2020-03-27 12:57:47.119132,1.0
13358,evilla-cruz,Villa Cruz,"{""scope"": ""global"", ""max_op"": 2.95, ""max_tol"": 3.0975, ""ernc_factor"": 1.0, ""publica_consumo"": false}",264,,1,2230410.0,2020-03-31 12:34:59.219003,2020-03-31 12:34:59.218941,1.0
14627,prog-rcsf-total-sub-nueva-renca-tg+tv-gnl-f,NUEVA_RENCA-TG+TV_GNL_F,{},1,,106,2233785.0,2020-05-12 17:19:17.480134,2020-05-12 17:19:17.480121,1.0
16245,prog-sen-kelar-tg1_gnl_e,KELAR-TG1_GNL_E,{},1,,91,2276485.0,2023-03-17 17:21:38.078101,2023-03-17 17:21:38.078082,1.0
8212,prog-sen-bocamina-2,BOCAMINA_2,{},1,2269610.0,91,265458.0,2017-11-21 18:17:05.204095,2022-09-30 12:41:09.735347,1.0
10190,prog-rcpf-normal-baj-ata-tg2b-0-5tv2c-die,ATA-TG2B+0.5TV2C_DIE,{},181,2150330.0,103,1867291.0,2019-03-05 16:33:30.333275,2019-07-31 16:03:27.150738,2.0
